948261:14024004|0,2,2,5,8,0,1,3,6,6,1,2,5,5,5,1,0,0,2,3,0,0,0,1,0
948261:14025025|7,3,1,1,0,5,9,2,2,2,3,2,5,0,0,11,7,0,0,0,1,1,1,0,0
948261:14024014|2,4,7,2,1,12,6,7,3,0,2,1,3,0,1,2,1,0,0,0,0,0,0,0,0
948261:14025093|2,5,0,2,3,5,10,4,2,5,4,0,5,1,0,3,3,0,1,1,0,0,1,0,0
948261:14025016|1,1,1,1,1,4,6,4,3,1,4,5,2,0,0,2,4,3,0,0,0,1,0,0,0
948261:14025064|2,1,7,3,2,1,7,6,4,8,0,2,1,4,9,0,2,1,4,4,0,0,0,0,0
948261:15632621|5,4,6,0,1,3,2,6,0,2,0,3,2,2,0,1,0,0,1,2,0,0,0,0,0
948261:15632617|1,0,0,0,0,0,2,2,4,3,4,2,2,3,0,0,4,2,2,3,0,0,0,0,1
948261:14025217|2,3,2,2,0,6,5,2,2,0,1,5,0,1,5,3,5,2,0,1,2,0,1,0,0
948261:14025257|1,1,3,2,0,0,1,0,4,2,1,3,2,2,0,0,5,5,9,0,0,3,0,4,0
948261:15631843|0,2,0,2,5,0,7,4,5,5,0,2,7,2,2,0,2,6,4,2,0,0,3,0,0
948261:15632626|5,1,2,3,0,0,4,4,5,2,4,3,1,0,2,0,3,0,1,0,0,0,1,0,0
948261:14025240|1,2,0,3,0,2,9,3,2,1,2,4,0,1,1,12,3,3,0,1,2,3,0,0,0
948261:14572678|2,2,1,3,6,3,1,4,7,3,0,1,4,3,2,1,1,1,2,0,0,0,0,0,0
948261:15359735|1,0,0,0,2,1,1,5,2,2,3,5,2,1,1,1,3,4,2,1,4,2,0,0,0
948261:14025215|4,5,1,3,4,10,12,3,5,5,2,2,2,5,1,1,1,1,3,1,0,0,1,4,0
948261:14572679|1,4,2,5,3,0,2,2,1,1,9,1,7,2,1,2,4,3,2,2,0,2,4,0,0
948261:14572642|0,4,2,3,0,0,1,7,6,2,0,5,10,2,2,1,7,4,2,2,0,0,0,1,0
948261:14025276|0,5,6,6,7,8,10,5,5,8,0,2,3,2,7,2,3,0,1,0,0,0,0,0,2
948261:15197271|1,4,4,2,2,5,6,7,14,7,0,1,1,4,7,3,1,4,1,6,0,3,1,0,3
948261:14025216|0,2,3,1,1,1,1,3,2,0,4,1,0,2,0,7,4,0,0,0,5,5,2,0,0
948261:14025181|1,3,3,0,0,7,6,11,1,0,4,3,5,1,0,1,1,2,1,1,0,0,3,1,0
948261:14025210|11,5,3,1,0,15,6,1,0,1,7,4,0,1,0,11,0,0,0,0,3,0,1,0,0
948261:15631836|0,0,0,6,7,1,2,8,3,9,1,1,6,5,4,0,1,1,2,2,0,0,2,0,0
948261:14025249|1,0,0,1,1,3,3,1,4,2,5,2,3,2,1,3,1,5,6,3,0,0,0,3,0
948261:14572677|2,7,4,1,0,1,5,1,3,6,0,0,1,0,5,0,0,1,3,0,0,0,0,0,0
948261:14025254|2,0,4,0,0,0,0,2,2,3,0,0,4,3,1,1,3,2,2,2,0,1,0,1,1
948261:15632625|0,1,0,2,0,2,9,4,7,3,0,3,0,2,9,1,1,1,0,0,0,2,1,1,0
948261:15632623|0,1,3,9,3,0,2,2,11,5,0,0,4,0,3,1,1,4,6,1,0,2,0,1,0
948261:14025206|2,2,2,7,6,0,5,3,3,2,0,3,1,3,3,0,1,0,2,4,0,0,0,0,0
948261:14572701|3,3,1,3,2,2,2,1,7,5,2,6,7,3,6,0,0,4,3,0,4,1,0,0,0
948261:14025281|0,7,1,3,1,4,1,4,3,3,1,1,6,2,1,3,5,0,6,1,0,0,1,0,0
827679:14024004|0,0,1,0,0,0,0,1,2,0,0,0,20,16,4,0,2,14,26,6,0,0,4,13,12
827679:14024014|0,0,3,0,0,0,0,1,0,0,0,3,15,12,1,0,1,3,16,6,2,0,5,6,6
827679:14025119|0,0,0,1,0,0,0,0,3,1,0,0,6,5,1,0,3,6,6,1,0,0,9,4,4
827679:14025030|0,0,1,0,0,0,0,0,2,0,0,2,4,14,2,0,1,3,12,1,0,0,6,6,1
